Group_Hypothesis,Sub_Hypothesis,Description,Expression
Mean Reversion,5-Day Price Reversion,Prices are expected to revert to their 5-day moving average after deviating significantly.,"signal = (Price - SMA(Price, 5)) / SMA(Price, 5)"
Mean Reversion Strategies,20-Day Price Reversion with Volume,Prices tend to revert to their 20-day moving average; stronger reversion is expected with higher volume.,"signal = (price - SMA(price, 20)) / SMA(price, 20) * volume"
Mean Reversion Strategies,Weighted Mean Reversion,"Prices revert to a weighted average of short-term and long-term moving averages, with higher weight on recent prices.","signal = (Price - (0.7 * SMA(Price, 5) + 0.3 * SMA(Price, 20))) / stddev(Price, 20)"
Correlation Arbitrage: Exploiting temporary mispricing between correlated assets,Short-Term Momentum,A short-term price outperformance in one asset of a pair versus the other indicates potential mean reversion.,signal = (return_assetA - return_assetB) * correlation_assetA_assetB
Momentum Strategies,Momentum with Volume Confirmation,Strong positive momentum is confirmed by increasing volume; strong negative momentum is confirmed by decreasing volume.,"signal = ((Price / Price[-5]) - 1) * (Volume / SMA(Volume, 5))"
Momentum Strategies,Relative Momentum,A stock's momentum relative to its industry peers predicts future outperformance or underperformance.,signal = (StockReturn - IndustryAverageReturn) / IndustryReturnStdDev
Value,Low P/E Ratio,Stocks with low P/E ratios relative to their industry are undervalued and likely to appreciate.,signal = (P/E) / median(industry_P/E)
Value,Low P/B Ratio,Stocks with low Price-to-Book ratios are undervalued and likely to appreciate.,signal = P/B
Value Investing Strategies,High ROE with Low P/B,Stocks with high return on equity and low price-to-book ratios are undervalued and likely to appreciate.,signal = ROE / P/B
Sentiment,News Sentiment Score,Positive news sentiment scores predict higher future returns.,signal = news_sentiment_score
Statistical Arbitrage: Sentiment,Social Media Sentiment,Increased positive social media sentiment leads to a temporary price increase.,signal = social_media_sentiment_score
News/Earnings Impact,Analyst Rating Change,Positive revisions in analyst ratings lead to short-term outperformance.,Signal = SUM(Rating_Change_After_News) * Price_Change_Next_Week
Technical Analysis Strategies,RSI Oversold,"When the Relative Strength Index (RSI) is below 30, the stock is oversold and likely to rebound.",signal = 1 if RSI < 30 else 0
Technical Indicators,MACD Crossover,A bullish MACD crossover predicts a price increase.,IF (MACD line crosses above signal line) THEN Buy Signal
Momentum,Moving Average Crossover,Assets where the short-term moving average crosses above the long-term moving average will outperform.,"signal = MA(Price, 5) > MA(Price, 20) ? 1 : 0"
Mean Reversion Strategies,Momentum and Reversion,Stocks with high recent momentum tend to experience mean reversion; short when momentum is high and long when it's low.,"signal = -1 * sign(SMA(returns, 10))"
Value,High ROE Reversion,A recent increase in ROE suggests potential price appreciation; a decrease suggests the opposite.,"signal = (ROE - SMA(ROE, 100))"
Technical Analysis,RSI Divergence,Bullish divergence between price and RSI suggests potential price increase.,"signal =  price - RSI(price, 14) "
High-Quality Growth,High Revenue Growth,Companies with consistently high revenue growth will outperform.,"Revenue_Growth = (Revenue_t - Revenue_{t-1}) / Revenue_{t-1}; Signal = AVG(Revenue_Growth_{t-4}, Revenue_Growth_{t-3}, Revenue_Growth_{t-2}, Revenue_Growth_{t-1}, Revenue_Growth_t)"
Combined Strategies,Value and Momentum,Combine low P/B ratio (value) with positive recent price momentum to identify high-potential stocks.,"signal = (1/P/B) * SMA(returns, 10)"
Price and Volume Patterns,10-Day Moving Average Crossover,"When the 5-day moving average crosses above the 10-day moving average, it indicates a buy signal.","IF (MA(Price, 5) > MA(Price, 10)) THEN Signal = 1 ELSE Signal = 0"
Technical Analysis,RSI Oversold Bounce,"When the Relative Strength Index (RSI) falls below 30, a bounce is likely.","signal = 1 if (RSI(ClosePrice, 14) < 30) else 0"
Price and Volume Patterns,Volume Spike Reversal,A significant increase in volume accompanying a price peak indicates an imminent price reversal.,IF (Volume[t] > 2 * Avg(Volume[t-20:t-1]) AND Price[t] > Price[t-1]) THEN signal = -1 ELSE signal = 0
Technical Indicators,Volume Confirmation,A significant price increase accompanied by increasing volume confirms the uptrend.,IF (Price increase > X%) AND (Volume increase > Y%) THEN Stronger Buy Signal
Undervalued Assets: Fundamental Metrics,Low P/E Ratio Rebound,Stocks with P/E ratios significantly below their industry average will experience positive price appreciation in the next quarter.,Signal = 1 if (P/E_stock < 0.8 * AVG(P/E_industry)) else 0
News Sentiment Impact,Positive News Surge,A sudden surge in positive news sentiment predicts a short-term price increase.,IF (SentimentScore(t) - SentimentScore(t-1) > 0.5 * stddev(SentimentScore(t-n))) THEN BuySignal = 1 ELSE BuySignal = 0
News Sentiment Momentum,Negative News Reversal,Stocks experiencing a sudden shift from negative to positive news sentiment exhibit higher returns.,signal = news_sentiment[t] - news_sentiment[t-1] //Difference in daily sentiment
Correlation,Sector Correlation,Positive correlation between a stock and its sector predicts higher future returns for the stock.,"signal = correlation(stock_price, sector_index_price)"
Correlation Analysis,Market Correlation Reversal,"If the correlation between a stock and the market index drops below 0.5 after being above 0.7, a price reversion is expected.","IF Correlation(StockPrice, MarketIndex)[t-1] > 0.7 AND Correlation(StockPrice, MarketIndex)[t] < 0.5 THEN Price[t+5] > Price[t]"
Mean Reversion,20-Day Price Reversion,Prices tend to revert to their 20-day moving average; stronger deviations lead to stronger reversion.,"signal = (price - SMA(price, 20)) / stddev(price, 20)"
Mean Reversion Strategies,50-Day Price Reversion with Volume,Price reversion to the 50-day moving average is stronger when volume is high.,"signal = (Price - SMA(Price, 50)) * Volume / SMA(Volume, 50)"
Momentum,Long-Term Momentum,Stocks with positive returns over the past 252 days are expected to continue their upward trend.,"signal = SUM(returns(price, 252))"
Bull Market,Positive Sentiment,Stocks with high positive media sentiment will outperform in a bull market.,Signal = Average(Sentiment_Score_{t-10})
Fundamental,ROE Growth,Companies with high and increasing Return on Equity (ROE) tend to outperform.,signal = (current_ROE - previous_year_ROE) / previous_year_ROE
Combined,Mean Reversion & Momentum,Combining mean reversion and momentum signals improves predictive accuracy.,"signal = ( (price - SMA(price, 20)) / ATR(20) ) * ( (price - price[20]) / price[20] )"
Momentum,5-Day Price Momentum,Assets with higher 5-day price returns will continue to outperform in the next 5 days.,signal = (Price[t] / Price[t-5]) - 1
